GeneID	GSM2476152	GSM2476153	GSM2476154	GSM2476155	GSM2476156	GSM2476157	GSM2476158	GSM2476159	GSM2476160	GSM2476161	GSM2476162
116437	0.008748	0	0	0	0	0	0	0	0	0	0
105370082	0	0	0	0	0	0	0	0	0	0	0
107987177	0	0	0	0	0	0	0	0	0	0	0
100128002	0	0	0	0	0	0	0	0	0	0	0
107161159	0	0	0	0	0	0	0	0	0	0	0
105370083	0	0	0	0	0	0	0	0	0	0	0
338797	0	0	0	0	0	0	0	0	0	0	0
101929974	0	0.002123	0	0.004378	0	0	0	0	0	0	0
105370084	0	0	0	0	0	0	0	0	0	0	0
105370085	0	0	0	0	0	0	0	0	0	0	0
105370086	0	0	0	0	0	0	0	0	0	0	0
100996701	0	0	0	0	0	0	0	0	0	0	0
105370087	0	0	0	0	0	0	0	0	0	0	0
6433	6.794	3.522	5.164	7.679	9.504	6.099	5.402	6.531	9.458	4.72	4.802
105370088	0	0.03424	0	0.07059	0	0.03418	0	0.173	0	0	0
4326	3.336	3.591	0.01819	10.01	5.698	14.74	1.457	2.577	0.8123	0.0998	0.04154
8408	13.59	4.393	6.058	9.332	9.404	7.942	10.35	7.886	13	8.562	9.762
107984455	0.382	0.2752	0.3158	0.3901	0.2455	0.3091	0.6218	0.4171	0.8129	0.2378	0.2404
80324	9.218	2.548	4.385	6.54	7.217	5.347	5.59	3.273	4.758	2.521	1.825
57634	7.878	3.894	5.957	8.75	9.686	6.895	7.847	8.413	10.24	6.275	6.317
677829	0.3158	0	0.3191	0	0.1595	0.1562	0	0	0.1607	0	0.1562
347918	2.502	1.212	2.869	1.192	2.442	2.391	3.02	3.715	3.877	1.76	1.446
317781	3.244	3.523	3.081	6.569	6.177	6.053	3.546	4.719	4.657	3.742	3.886
79050	22.2	8.695	10.18	15.03	18.29	15.96	12.14	13.22	11.26	8.46	7.702
105370090	0	0	0	0	0	0	0	0.007953	0	0.02332	0
107984456	0	0	0	0	0	0	0	0	0.02578	0.02478	0
100996246	0.1749	0.5632	0.05892	0.01489	0	0.1298	0.29	0.7589	0.4451	0.6132	0.4757
50614	0.02034	0.01344	0	0.03463	0	0	0	0.2648	0.1173	1.778	0.01341
105370091	0.005215	0.03617	0	0.01065	0	0	0.01556	0.02088	0.02654	0.1275	0.01547
100130238	0.01116	0	0.005638	0.05699	0	0	0	0.04469	0	0.131	0
101928416	0	0	0	0	0	0	0	0	0	0.3557	0
105370092	0	0	0	0.002921	0	0	0.002845	0	0.002911	0	0
112268102	0	0	0	0	0.02526	0.0371	0.0622	0.2879	0.2418	0	0
100129528	0.05886	0	0	0	0	0	0	0	0	0.009598	0
57666	4.396	1.499	2.228	3.241	3.027	3.139	3.099	3.604	3.534	2.259	2.421
102465975	0.3328	0.3297	0.6726	0.3399	0	0.6583	0	0.6664	0.3387	0	0.6582
105370094	0.0267	0.008816	0	2.672	0	0.0264	0.07082	0.06236	0.04529	0.1393	0.0264
100507055	0	0	0.00844	0.5374	0	0.008261	0.02493	0.02508	0.03401	0.1226	0.09086
22953	0.1318	0.1306	0.01269	0.01923	0.1268	0.03725	0.02498	0.01885	0.03195	0.01228	0.03725
5426	8.094	5.569	3.25	4.859	13.26	8.476	5.291	4.669	5.937	3.284	5.485
5827	9.032	8.551	11.92	7.676	26.58	20.47	17.59	11.9	17.64	12.35	14.53
192111	16.07	10.91	9.961	20.89	24.86	19.01	14.03	14.17	15.48	9.124	7.92
23141	15	10.86	14.94	30.09	20.95	19.1	25.76	14.08	31.27	23.48	15.16
2802	11.39	5.488	9.608	15.24	10.57	9.982	10.67	18.63	12.8	10.97	9.373
55743	3.179	1.284	2.545	2.489	1.645	3.118	3.002	1.735	3.362	2.064	1.631
101928530	0.1195	0.5526	0.3623	0.04069	0.08049	0.1182	0.7134	0.1595	0.446	0.1169	0.1182
100289635	3.21	0.7155	1.902	2.379	1.668	1.517	1.535	1.462	3.925	2.44	1.438
7574	1.019	0.3365	0.6808	1.048	0.9057	0.6631	0.8365	0.4237	0.7742	0.4031	0.3877
101928597	0	0.03724	0	0	0	0	0	0	0	0	0
7637	3.681	1.31	3.09	4.036	2.54	2.266	3.031	2.048	7.223	3.194	3.243
7699	5.331	1.497	1.715	4.845	3.172	2.453	3.401	1.924	4.147	2.01	2.186
101060200	0.5461	0.3823	0.4635	0.818	0.7061	0.5041	0.6736	0.3572	1.067	0.4773	0.4104
7556	2.597	0.8561	1.126	1.645	0.8233	1.034	1.084	1.003	2.259	0.9606	1.029
10795	3.246	1.149	0.4694	2.376	1.547	2.355	1.551	1.134	2.363	1.174	1.624
647589	0	0	0	0	0	0	0	0	0	0	0
26080	0	0	0.02228	0	0.06683	0	0	0	0	0.02157	0
